metric,in_sample,out_of_sample
initial_balance,10000.0,10000.0
final_balance,9709.982741887672,11180.065755292186
total_return,-2.9001725811232792,11.800657552921857
total_trades,122.0,62.0
profitable_trades,20.0,14.0
win_rate,16.39344262295082,22.58064516129032
average_profit,-1.156540324074495,20.49956031609221
max_profit,707.439664537903,413.5020898724217
max_loss,-123.59847447865002,-97.73263279583381
average_holding_time,13.513661202185792,21.26747311827957
profit_factor,0.9794817709351629,1.3910462839704612
max_drawdown,20.15584320433736,10.003857044005068
win_loss_ratio,4.99535703176933,4.76930154504158
sharpe_ratio,-0.208577542325736,3.1383127897059926
annualized_return,-13.77382349822408,738.3277079430737
annualized_volatility,80.52459484433727,67.40662702847456
total_fees,292.0320912235122,161.7532538896485
total_entry_fees,146.39999999999995,74.40000000000002
total_exit_fees,146.71275264836763,74.15923585995299
total_funding_fees,-1.0806614248553734,13.19401802969551
fees_to_profit_ratio,-206.97122408438483,12.726728815666494
